Unique Key,Created Date,Borough,Zip,City,Complaint Type
35146328,2017-01-01 01:55:37,BROOKLYN,11221,BROOKLYN,HEAT/HOT WATER
35137886,2017-01-01 01:55:52,QUEENS,11373,ELMHURST,Noise - Residential
35137626,2017-01-01 01:56:01,BRONX,10457,BRONX,Noise - Residential
35138783,2017-01-01 01:56:03,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35142939,2017-01-01 01:56:10,BRONX,10457,BRONX,Noise - Residential
35142940,2017-01-01 01:56:14,MANHATTAN,10033,NEW YORK,Noise - Residential
35137594,2017-01-01 01:56:14,BROOKLYN,11208,BROOKLYN,Noise - Residential
35143044,2017-01-01 01:56:38,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35139019,2017-01-01 01:56:39,BRONX,10462,BRONX,Noise - Residential
35138821,2017-01-01 01:57:16,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35142789,2017-01-01 01:57:17,QUEENS,11368,CORONA,Noise - Residential
35142994,2017-01-01 01:57:26,BROOKLYN,11205,BROOKLYN,Noise - Residential
35140452,2017-01-01 01:57:36,QUEENS,11415,KEW GARDENS,Noise - Street/Sidewalk
35137863,2017-01-01 01:57:46,QUEENS,11420,SOUTH OZONE PARK,Noise - Residential
35137486,2017-01-01 01:57:51,BROOKLYN,11223,BROOKLYN,Noise - Street/Sidewalk
35147374,2017-01-01 01:58:09,QUEENS,11367,FLUSHING,Noise - Commercial
35141406,2017-01-01 01:58:09,QUEENS,11373,ELMHURST,Noise - Residential
35138801,2017-01-01 01:58:11,BROOKLYN,11205,BROOKLYN,Noise - Residential
